text,rating,review_length,sentiment
"Great speaker, able to move around, connect to iPad when watching movies. Love it!",5,14,Positive
Purchased the replacement controll because the original stopped working. Ordered the replacement in November and it also stopped working for no apparent reason. I changed the batteries twice with no luck. It was great for the three months it lasted. However it ONLY lasted 3 months. Unfortunately my return date expired 2 weeks ago. I Dowloaded the remote app and it consistently looses wifi conectivity (home wifi network works perfectly on all my other phone apps),1,76,Negative
"As a background, I am a retired Information Systems professional and I am writing my first impressions of the NEW Fire HD 8 released on September 21, 2016 from the perspective of being a long-term Kindle user. I have all the current e-readers and Fire devices from Amazon including the basic Kindle, the Paperwhite (2013,2014,2015 models), the Fire HD6, Fire HD7, Fire HDX7 and Fire HDX8.9 (3rd and 4th generation), the old Fire HD 8 and the Fire HD 10. Here is a summary of my initial impressions of the new Fire HD8.Amazon has replaced the original HD 8 released in 2015 with an All-New HD 8. Amazon is also removing the Fire HD6, which is a shame as it is a great little tablet.The new HD 8 differs from the old version as follows:BEST NEW FEATURE:The price has been reduced! The 16 GB version of the old device cost 169.99 with special offers (ads). The new 16 GB version costs 89.99 and you can get a 32 HB version for 30 more.SECRETLY REMOVED:Amazon has removed the ability to mirror your display on Miracast devices such as TVs. Now that feature is now only available on generation 4 and 5 Fires including last years HD 8. However, you can still cast Prime videos to a FireTV or Fire Stick.WHAT COMES IN THE BOX:The HD8 Fire, a short 3-foot USB cord and a power adapter so you can charge and use the device right out of the box.SIZE:The new HD8 is a fraction thicker than the 2015 HD8. Leather cases for the old HD 8 will fit the new HD 8 but hard shell cases will not. However the auto wake feature of some older cases won't work.One complaint I had about the earlier versions was that the back was very slick and slippery to hold without a case.Read more",5,309,Positive
I love the fact that it has the kids free time thus limiting what your child can read. Plus the parental controls the you can set time limits. It gives a parent full control over what and for how long a child can read.,5,44,Positive
I added this to my echo collection great for on the go and around the house. I don't like that you have to tap it to activate,5,27,Positive
A great looking cover for the Echo Dot. It gives the Dot a softer and more elegant look. I feel that it is a little pricy for what you get but I do not regret my decision to buy this case.,5,41,Positive
We're in our 70s and and have a good time with it.,4,12,Positive
Q: What's the difference between a 19.99 Amazon 5W USB Official OEM Charger and Power Supply and a 5.95 5V 1A (1000mA) USB port power supply - UL ListedA: 14.04 Calling it a 5W charger rather than a 5V 1A charger is a distinction without a difference.,2,47,Negative
Would buy the cheaper one than I bought.The echo is a better product,3,13,Neutral
"While this case fits a 7th Gen Fire perfectly, there is no comfortable way to hold it and it doesn't stand up on it's own for viewing. Returning to try another style",2,32,Negative
works well with the amazon fire 7,5,7,Positive
Alexa works great and does lots of things for you. Fun for the family.,5,14,Positive
Fits perfect on the new Fire 8 kids tablet!! Thanks so much for another great product!,5,16,Positive
"If you read my Fire TV review you know that I am tough on Amazon when it comes to their own items. It needs to deliver quality for the price point to earn stars from me. Please take the time to read my entire review and feel free to ask questions. I will do my best to respond to them as I can and update the review to reflect those answers and other things I discover along the way.First my background. I own many Amazon Kindles (bw, Fire gen2, Fire gen3) as well as Apple Ipad (gen 4), Samsung Note 3 and have an LG G2 smartphone (had a Samsung S4 before that), notebooks, chromebooks, etc. I have also used many other products including the Fire HDX line. I have a solid computer background as well but honestly I am more of a casual user when it comes to tablets like this one.Amazon has changed many things over the life of the Fire product line. Adding and removing features (like cameras--the first generation had one but the second generation removed them but not they are back).They are all useful devices but each one has its own niche so to speak so make sure whatever you get has the features that are important to you.Now to this model. This is like a big smartphone--which is a big difference from past kindles. It is more compact, lighter and yet still very usable. In fact for me, the shrinking of size increases the usefulness. I find that I use my smartphone way more than my tablets--even the smaller Fire HD and Samsung Note tablets so I am expecting this to replace more of that on the couch usage which is great since it so much less expensive than most smartphones. That means you can feel less bad about scratches that might occur or the accidental drops. (I am guilty of both.Read more",5,319,Positive
"I bought this to listen to music. I do not use the Alexa feature all that much. The feature does work great, but it gets annoying having to press the button vs how on the echo you just speak. The speakers work great. I can hear the music crystal clear throughout the majority of my house while playing it. Bass is decent. I would recommend to someone.",4,67,Positive
This is not the same remote that I got for my Alexa-Echo it doesn't control volume.... I think remotes most used feature is volume and pause. I would be disappointed with myself if i produced a remote that couldn't control volume. That would make me an incompetent engineer or lazy CEO!!! Amazon I expect better from you!!!,3,57,Neutral
"Great sound, it needs to be a little more sophisticated in responding to inputs. For example, yesterday I told it to play Mexican music -- didn't know any, same with Mariachi Music. Could not play any, Odd,",3,37,Neutral
we're early in the stages of home smartness but this is a good start,4,14,Positive
Tap is a nice bluetooth/wifi speaker that is portable and can give you information when you ask it questions.Can Sync with your phone via using the Amazon Alexa app.,5,29,Positive
With this you have someone to talk to and answers you.,5,11,Positive
"I bought this case at the same time I bought a new Fire tablet during Prime days. It was recommended on the tablet page, so I thought I was getting the right case. Well, it doesn't fit - not by a long shot. Then I realized the case was for a new Fire for 2017 (like mine) but 7th generation, not 8th. Since it does not fit, I now have to return it. And at my expense (arg!) I can't even exchange it for a new one because apparently Amazon does not make this case for the 8th generation Fire yet. You update one of your products, then release it, but you don't put out a case for it at the same time WTH Amazon When will you start selling Amazon cases for the Amazon Fire 8th generation I'm NOT happy with Amazon right now and am wondering whether I should keep the tablet if I can't get a case for it that has the vertical stand feature that the Amazon case has.",1,173,Negative
It works about 50% of the time when asking it a question.,3,12,Neutral
"Cons:1. Built on Android does not mean you can have Google Play Apps. This is an unfortunate inconvenience, as there are some Google Apps that are just better than their Amazon App counterparts, and a few that I can not find within the Amazon Apps. If you want a fully functional tablet, then buy a tablet and download the free kindle app. If you want to pay more for something that does less, then the kindle is for you. This was a gift, so I will keep it, and continue to use my phone for the rest of my Apps that are not available on the kindle.2. Camera is less than perfect. Limited settings available. Again, I will use my phone for pics, the same scene with my phone showed the flames, with a small amount of glare. (Husband is a firefighter, so I take a lot of pictures of their exercises for their training.) An old Casio Exilim C721 phone with 5MP camera still takes better pictures at night.3. Kindle unlimited... I can not find anything worthy of paying a subscription price every month for. The Authors I want to read are not included.4. Amazon Prime... See 3, They doubled the price, and to me I just don't see anything there worthy of the cost, including Amazon instant video, no shows that I watch are included. Another family member did the 30 day trial, and was quite disappointed when his content disappeared after the trial.5. Youtube videos work ok, sometimes choppy, could be my connection or the device (computer playback worked fine when I had the time to test simutaneously). Other online video from various sources would not play in Silk Browser, refer to 1 Chrome Browser not available to download.6. Office Suite... I can not figure out how to unlock documents. I can view them, but I can not edit them.Somewhere in the middle:1.Read more",3,317,Neutral
"I bought 2 of these for christmas presents and I have to say they aren't very kid friendly. Every kindle I've had in the past has been pretty easy to use, this one has a lot of options that I think could be elsewhere to make it easier for a child to navigate. They have an easier time using the other devices (kindle fire, or kindle app on their other tablets) which is unfortunate because I wanted them to be able to have something strictly for reading. Also for a kids bundle its very disappointing that most children's books don't work with this device. No where on the kids bundle page does it state this is an 8th generation kindle. Now, I have a few kindles and have bought new ones as they come out, but I haven't followed close enough to know this is an 8th generation without that information available on the page. I planned on buying these devices so bought a bunch of books listed as available for e-readers 5th generation. I assumed since it was the latest one listed, and my new devices didn't have anything listed, it was the latest. I just found out today that its an 8th generation and a lot of books aren't available on this device, with hopes that will change in the future. So now I have a lot of money spent on books they have to read on their old devices (the devices with games and access to the internet and videos). I spent extra money on 2 new devices so they had something to use daily without that access, all to find out their age appropriate books can't be read on their new devices. I think this information should be available to parents who are looking for a device they can sit their kids down with and not have to worry about them not focusing on something so important to them. Reading is important to children of all ages, and they can only read at their own levels.Read more",3,341,Neutral
"I typically don't post reviews however don't waste your money on this case. I got it on Friday and started using it that evening. Its now Thursday and the case is peeling at the edges, the fabric around the camera hole has started bubbling, and the felt on the inside edge is wearing off. i have not had any issues with it standing on its own like other people have mentioned. I am giving this a two star mainly because it is still functional. I am tempted to send it back but I like the functionality of this case.",2,99,Negative
"For the low price, this tablet really does more than expected! The camera isn't great however, I always use my phone for a camera so that doesn't effect me. Here are some of the pros and cons:Pros: Low cost yet high tech Great screen quality (of course there is better out there, but it looks great as is) Smooth and responsive Easy access to amazon prime content Easy to wirelessly share content to a TV Battery life Web browser works greatCons: Doesn't have some apps android users are used to having Camera quality isn't great and no flash Less 'extra features' than some higher priced tablets haveI opted to go with the 16gb version with no ads. The ads aren't a big deal, but I figured I would pass on having them on my screen. No matter what version you pick, they all do the same things. The gigs may or may not matter to you. 8 and 16 gigs both aren't very large, but if you want to predownload some tv shows, movies, music before a vacation, then you may want to look into getting the larger 16gig. If you will always have internet connection, then it isn't much a problem since you have unlimited cloud storage and can download to your device or stream at anytime you have internet.Overall... If you want an Amazon tablet, and you want the best, go with the HDX series. However, if you want an amazing tablet but don't want to spend as much, then these new HD 6 7 series are great! For me and my uses, the HD 6 is the perfect fit.I would suggest the 6 over the 7 for most buyers. The only 2 things the 7 has over the 6, are a larger screen, and dual speakers. Sure the dual speakers is kind of nice, but the screen is actually lower quality than the 6.Read more",5,318,Positive
"a hrefhttp://www.amazon.com/review/R205OAX284SIMieUTF8videoPreplay1 onClickreturn cvmoOTYXBAMRIF04loadSwf() targettopimg80 border0 srchttp://ecx.images-amazon.com/images/I/81ppteZJwKS.SX320PHcustomer-video-vignettePIvideo-reviews-bottom,BottomLeft,0,43OU01PIcustomer-video-play,BottomLeft,130,-12CR0,0,0,0.png altClick to watch this video idcvmoOTYXBAMRIF04preplayImageId //a Length:: 0:45 MinsNOTE ON VIDEO:I've made this to illustrate the current works of Fire TV's voice search feature. It appears to be limited to Amazon content, at least for videos. I believe that they do include a third party service if you search for music.I am searching for House of Cards, Season 2, a Netflix original. I am a Netflix subscriber so I would expect the Netflix listing to be displayed but Fire TV only returns the show's Season 1 available for purchase at Amazon and does does not list Netflix at all. As a Netflix subscriber, I could watch both seasons 1 and 2 for free but, according to Fire TV's search, Season 2 doesn't exist and I'd have to pay 2.99 per episode if I wanted to watch Season 1.See how Roku's search (second half of video) correctly shows that Season 1 is available from Netflix, Amazon, MGo and Vudu and that I can gety get Season 2 from Netflix. It's also telling me (checkmarks) that I subscribe to 3 of the 4 services listed.It's up to everyone to weigh Amazon's faster and more convenient voice search feature that returns Amazon-only content vs. Roku's ability to find content across the channels/services it carries.REVIEW BEGINS HERE:As a current/former owner and user of streamers such as Roku 3, Roku Stick and Google's Chromecast and also streaming/gaming platforms such as PS3/PS4 and Xbox 360/One, I believe I can do a fair assessment on what Amazon's Fire streamer is about and how it compares with the alternatives. I rely on reviews to help me make informed and rational purchase decisions and, hopefully, my assessment of Amazon's Fire TV may help others decide whether this is what they need or want.BROAD ASSESSMENTThe Fire TV will have to find its place in a pretty crowded marketplace. From what I've experienced so far, due to its tight integration with the Fire HDX tablets and Amazon's own Instant Video service in search it should be a great pick for anyone who owns the Amazon tablet and already subscribes to Amazon's Prime. Its ability to play games and the ease of downloading them should also appeal to non-hard-core gamers. For everybody else, depending on one's specific needs and expectations, the Fire TV may or may not be the 'right' streamer to buy.As one who purchased Amazon's original Kindle Fire on day one and went through several generations of Amazon's Kindle reader I expect that Amazon's streamer will also evolve or grow overtime. Amazon will listen to 'us' and the next generation streamer will be a much more interesting, 'new and improved', more capable and better tuned to our needs and wants. Until then, I would say that the current Fire TV is a competent, Amazon-content-biased (through search) streamer with gaming capabilities, lacking some in content and showing some innovation on search (offset by its currently favoring Amazon's service) and the user interface in general. Parental controls and the games could make it a favorite streamer if young children are also watching. If all you want is streaming and don't care about casual gaming you may feel that you are paying for capabilities that you don't need.CONTENTThe Fire TV offers most but not all mainstream services and I suspect it covers what most of us will ever want to access and I am sure that more services will be added in time. However, at this time Amazon's selection pales when compared to Roku's 1000+ wildly diverse channels but the Rokus have been around for a while. All mainstream services now on Fire TV are also available on Roku, PS3/4, Xbox 360/One and many on Google's Chromecast.Fire TV attempts to be a little different when it comes to accessing content, allowing for voice search but results are currently returned mostly from Amazon's Instant Video. By comparison, Rokus offer text based cross-service search with results returned from most 'big' providers. Amazon's attempt to predict and preload what we are most likely to watch will have to be assessed over a longer period of time so, time will tell.The soon to be implemented parental controls should differentiate and distinguish Amazon's product from the competition once they are implemented.INNOVATIONAmazon's great innovative, revolutionary, disruptive device was the Kindle reader and the enhanced Kindle Paperwhite. I suspect that thousands of acres of trees are still known as 'forests' instead of 'recyclable material' these days because of the Kindle. Amazon's Fire tablets are nice but they are... tablets. The Fire TV streamer/gaming device falls probably under 'okay' or 'interesting' streamers and 'not too bad' gaming platforms.The quad-core CPU is also nice but, whether I'm streaming on a significantly more powerful PS4 or a tiny one-core CPU Chromecast, the video/audio quality seems to be comparable and practically indistinguishable. I assume that the reason for a more powerful CPU is the game-playing part.The lack of large permanent storage (HDD) implies that, as a gaming platform, the Fire TV will allow for mostly small to medium-size games with a lot of cloud interaction and storage. Again, a feature that may not be suitable for those whose ISPs charge by the Megabyte or impose a monthly download quota on their customers.Game playing on the Fire TV works but those used with big console's lag-free controllers that 'rumble', talk back and sense motion may not view the Fire TV as a serious gaming platform.I would say that Amazon's streamer is solidly in the mainstream as far as innovation. It's a quality product but not a revolutionary one and that's still Okay.VALUEThere's very little that Amazon's Fire TV does that other platforms don't do.- The PS3/4 and the Xbox 360/One are vastly superior gaming platforms and equally good streamers and multimedia machines. Only they are much larger physically and cost significantly more.- The Chromecast and the Rokus are a lot more innovative and allow for a lot more flexibility and integrate nicely with tablets and PCs and allow for streaming personal content without being limited to a specific brand or model of tablet. They are also somewhat more difficult to setup.- Small streamers such as the Roku Stick and the Chromecast are very portable as they fit into one's shirt pocket. Amazon's Fire TV could be carried around at least in theory but it's not as easy to move around.- Roku is still the leader of 'content' but Amazon's selection should cover what most of us want to watch most of the time.- The Fire TV costs a lot more than a Roku or a Chromecast but, even if a gaming controller is added, is still less than a PS3 or an Xbox 360- Voice search as implemented on Fire TV at the time I am writing this (restricted to Amazon and Vevo) is in effect hiding content from other services, potentially costing you money if one show is available to purchase or rent at Amazon but it may be also carried by another service you subscribe to as a 'free' stream.WHO NEEDS ITAnyone who already has one or more Roku, Chromecast or Xbox, Playstation in their homes probably don't need one at this time. Unless they are tightly integrated into Amazon's ecosystem or are cable cutters who wish some tighter controls over what their kids are watching.Those who are looking for their first streamer should consider- Fire TV's ease of use (beats the Chromecast but it's probably on par with Roku and the Xbox/Playstations)- Amazon's great user support- Roku's enormous channels selection- Playstation and Xbox being clearly superior gaming platforms (if you don't mind paying up to 60 for newly released games)- Amazon's attempt to keep their users confined to Amazon's own hardware platforms and content streams vs. Roku's and Chromecast relative openness- Fire TV's split gaming/streaming personality (Jack of 2 trades) vs. Roku's and Chromecast focus on streaming- Price, of courseIt's not an easy decision to make. I would be very happy with the Fire TV if it was the first streamer device in the house. With so many stream-capable and game-playing boxes/sticks already operating and doing well, I like Amazon's Fire TV for being a well designed, capable streamer with some nice extra capabilities but I also like and I've been using the Rokus for their huge number of channels and portability and great interface and the Chromecast for allowing me to easily send whatever is in my Chrome browser to the TV. I hope that Amazon's search will soon expand to cover non-Amazon services or it won't be a useful tool. I may not have the the Fire TV attached to the big TV in the living room but our daughter who happens to be a faithful Kindle and Amazon Prime user asked for it in her room.",3,1465,Neutral
It's pretty cool. Integration with Amazon Music via the mobile phone interface is a little iffy which is odd given both products come from the same company.,4,27,Positive
I habe the echo and I bought this one fort my son's room but it's not as user friendly. I wish I would've just bought the other one.,2,28,Negative
Works great to protect the Kindle from drops.,5,8,Positive
Having to press to talk steals the real thunder of what the amazon echo can do.,3,16,Neutral
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"Ok first things first, I also own a Echo and if you own a Echo you will love the Tap.Now you will see a lot of reviews around the internet of people saying they wish the Tap was voice enabled like the Echo. I happen to think those people are not completely thinking things through. Because the Echo is not meant to be a mobile device. It generally sits somewhere in your house and the voice command is then a great feature to have. But the Tap is meant to be mobile, and therefore I am happy it's not a Voice command device. I would not want to be at the beach or on a subway or at the coffee shop and having this thing think the world is taking to it. So I actually think not having a voice command is a well thought out feature. I have the Echo on my kitchen counter and the Tap in my Studio office. And when I leave my office I just grab it and go.I bought this on sale for 89 and I went to the store and listened to many Bluetooth speakers. And while yes the charge 3 sounds better, all the charge 3 can do is be a Bluetooth speaker. While the Tap is so much more for less . And the Tap sounds Great. After looking online I was a little nervous that it would not sound that great, but I was 100 wrong about that. There is no other product out there for 89 that sounds this good and can do what the Tap does.I was not paid or given a Tap to write this review. I'm just a consumer who was it the market for a Bluetooth speaker, and I could not be happier with my choice.Also if you buy this device buy the Amazon sling as well. Trust me you will want it. And honestly I am again happy I got the one that covers the bottom of the Tap. Because if this was sitting on a table and someone knocked over a drink I would not want the bottom where the charging rings are to be exposed.That's it, that's all. Buy it, you won't be disappointed!!!!!",5,372,Positive
A great looking cover for the Echo Dot. It gives the Dot a softer and more elegant look. I feel that it is a little pricy for what you get but I do not regret my decision to buy this case.,5,41,Positive
"This is the middle model of the three models that Amazon is shipping this year: the Kindle Fire HD, the Kindle Fire HDX (this tablet), and the Kindle Fire HDX 8.9. This is the successor for last year's Kindle Fire HD but with an updated operating system and new features, a redesigned shell (with the power and volume control buttons more readily accessible), an absolutely amazing display, superb sound, an included power adapter, and the new Mayday feature.Update: Some users are reporting a bluish glow around the edges of the screen for the HDX. If you search on YouTube for HDX Blue Haze, you can find a video showing the issue. Amazon has updated their Learn More link with the following info:To achieve the perfect color accuracy on Kindle Fire HDX 7 at the lowest possible battery consumption and device weight, we used blue, not white, LEDs. Blue LEDs allow for a much more accurate and rich representation of color and result in an up to 20 improvement in power efficiency.As a result of using these blue LEDs, you may notice a very narrow, faint blue tint around the edge of the device when looking at items with a white background, such as books or web pages. All displays have some level of light emission around the edges, and the light on the Kindle Fire HDX 7 is blue due to the technology used to render perfect color accuracy.If this is something that you think would bother you, I'd recommend taking a look at the YouTube video or taking a look at the HDX at a local Best Buy or office superstore. I've also uploaded a user image here of my HDX with a book loaded so that you can see the blue glow (http://www.amazon.com/gp/customer-media/product-gallery/B00DOPNO4M/).Read more",5,296,Positive
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"I don't know what's wrong with fire tv remotes, but they tend to malfunction after a while. I have no intention of buying another one, when the replacement remote breaks again, I'm done with amazon fire tv and will look for another provider. Unless amazon gives me a free remote",1,50,Negative
I recommend this speaker Easy to work great sound,3,9,Neutral
Remote worked well for about 30 minutes but now jumps around several spots when using the up down left right buttons. I didn't really like using the phone app but will now have to go back to it.UPDATE: I was contacted by customer service and was advised to remove batteries and insert a fresh pair (although batteries were brand new to begin with) and to unplug the firestick to restart it. The remote has been working properly since doing this. I also used the same batteries. I just hope this isn't something that will need to be done frequently.,4,99,Positive
"Good cover love the standing feature, one big flaw.... It need cut outs for the speakers when shut....Music still plays when active and cover closed to protect screen but there are no cut outs for the speakers thus destroying the sound..... This is a huge design flaw for the case.",3,50,Neutral
"The Amazon Echo Tap is a nice & interesting device...but it did not fit my needs. I also have the Amazon Echo and absolutely love it. So what's the difference? A. You have to walk up the the Tap to touch it - this is not as convenient and not as fun as the talking to the Echo from across the room. B. The audio quality not very good - more like a small bluetooth speaker. C. The Tap is fine around the house when it's connected to the home wi-fi, but when you are out of the house it must connect to your cell phone or other wi-fi?? That is not going to work very well.",3,117,Neutral
My adaptor doesn't work. Maybe I'm doing something wrong but there are no instructions. It looks pretty simple. So it just simply doesn't work.,1,24,Negative
"Let me guess: you love books, but you're not sure you want to get a kindle because you love the feel of books, rightI'm here to tell you that the kindle is the perfect balance of book and digital format.SHORT REVIEWYes, you should buy a kindle. Get the paperwhite with no ads. You're welcome.LONG REVIEWI love physical books too, I'm with you. But I know myself, and I know that once I forget to take the book I'm reading with me, that's it. I'll start another book and rarely finish the first. I also know if I try and read on my phone or iPad that I'll get distracted and start wondering about what's happening on the internet (Instagram's not gonna scroll ITSELF). Either way I'm not finishing the book.WHY KINDLEThe kindle takes the best of both worlds and mashes them together. The e ink display is honestly incredible. I wish iPhones had an e ink display. It really looks just like a printed page. So you get the experience of reading a physical paper book, but with the perks of being digital.Namely:- Share what book you're reading to Goodreads, Facebook, or twitter (so you can look SMORT)- Built in dictionary (so you can learn the proper spelling of the word SMORT)- Export your highlights as a PDFPlus, it'll also sync with the kindle app on your phone so you can squeeze in the final few pages of the chapter while you're in the bathroom (don't pretend you don't do that. You're either on your phone or you're reading the febreeze ingredients)READING IN BEDThe backlight looks great. It's a perfect size.Read more",5,272,Positive
"Bought a refurbished kindle and literally after one month of owning it the device started to freeze. I had to reboot it multiple times and then it would start working. Went on a trip and it worked as it should but as soon as I returned the battery died and I charged it over night and the next morning the screen was frozen with the character reading a book under a tree. I tried all rebooting methods (20 seconds, 40 seconds, 1 minute) and nothing. Called customer service and was on the phone for an hour. Eventually they said that they could only give me 35 off the next purchase of a new kindle. I was pretty bummed out that a refurbished product of their own was not backed by them. I ended up buying a new kindle with the discount they gave me but should have just went with a new one to begin with since I ended up spending the same amount of money and had way more of a headache to deal with. Now I have to figure out what to do with this new Kindle Paper Weight that I have.",1,194,Negative
"I bought these for a couple of reasons.First, I wanted an earbud that was NOT designed as noise cancelling. I hate having to shove headphones into my brain to use them. Apparently, a lot of people are under the assumption that these are supposed to be noise cancelling or something which they are not. They are simple earbuds. I hate not being able to hear what is going on around me and don't feel safe in public using headphones that block everything else out. These are designed just like the old style earbuds that you stick in your ears but they are more comfortable. Maybe I have small ears or something but they could never fall out or dislodge from my ears. They don't cancel the outside noise but they sit in my ears exactly as they are supposed to so the sound travels right into my ears.Second, I really like the magnets and tangle free aspects of the headphones. I use headphones while I work and the magnets allow me to hang the headphones easily when I am finished with them. The flat cord and magnets also mean the headphones never really tangle when you put them in a bag or wherever. Awesome design.Finally, the sound I get out of these seems pretty average. I would compare them to the stock Apple iPhone earbuds or a set of Sony earbuds. Nothing special. They are only 25 and a lot of that is the fact these were just released and that you are paying for the design as far as magnets in the ear buds and the nice flat cable. Don't expect them to perform like 100 headphones because they aren't designed to perform like that. They are just a nice simple set of earbuds that will sound good to most people. The magnets and tangle free cord are awesome and they are really quite comfortable.Read more",5,317,Positive
Great additional piece to go with Echo. If you want a additional unit you can't beat this product and the price!,5,21,Positive
"I purchase almost everything with the exception of food from Amazon. I have been a prime member since the inception of the program. Without exception, I have always received EXCELLENT customer service. Until now. I'm having difficulty with my Fire TV connecting to my wifi. Last Saturday I spent approximately 1- hours (maybe 2) troubleshooting with two women techs on the phone. Mary (who I was passed to from the first tech because of her expertise) said she thought it wasn't just a problem unique to me and asked me if she could call me back on Sunday after researching the problem. I had no problem with that. No call on Sunday so I called on Monday. Much to my surprise, there was no record of my call attached to my file. The rep was confused as to whether I was talking about fire wire or Fire TV so I was first sent to a different department. Finally, I got through that fire wire was not the same as Fire TV and I was transferred back to digital. We went through the same troubleshooting taking up a lot of my time. I was willing to do it until we were going around in circles and my phone was running out of juice. The gentleman asked me if he could research and call me later in the day. NO CALL. It's Tuesday--still no call.It really pains me to have to say anything negative about Amazon's Customer Service as it has NEVER BEEN LESS THAN EXCELLENT IN THE PAST. I've noticed I haven't gotten a survey as I usually do after a customer service call. Whoever Amazon has farmed out their digital customer service to will ruin their excellent customer service reputation and they will lose sales because of it. I'm going to wager a bet that there is no record of the 3-4 hours of my time on the phone trying to solve a problem and no record of two promises to call me back. I would have had more respect for these reps if I had received a call saying they were sorry, but they weren't able to come up with a solution for me.I'm hoping Amazon has kept a record of my past reviews and will review my account and see just how much I've spent over the years as a loyal customer. I'm very disappointed that I had to write this review, and I'm hoping someone who can change things reads this and saves Amazon's reputation. I can't be the only one receiving this kind of treatment. It's obvious that the people who are techs for Fire TV are not the same techs that I've dealt with in the past. In fact, I don't think they are even in the same country. What a pity.",1,467,Negative
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"WAS SURPRISED HOW GREAT THIS WORKS , MUSIC ASK IT QUESTIONS AWESOME",5,12,Positive
"Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more informed opinion. This wasn't as obvious as it should have been when I ordered mine so they're listening which is good.Be aware that their most popular Prime content *may* not be available to download (and save) to your HDX. You can save certain videos to your HDX but you won't know which ones until you buy an HDX and try it out. *** Edited 12/21/2013 You can now see a list of Prime movies and shows that can be downloaded to the device. That's an improvement and more clearly shows the available downloadable Prime content. +1 for Amazon. ***I was also under the assumption that you could download as many videos as you'd like with the limiting factor being the memory capacity of the HDX. Also NOT the case. So again, I bought the larger capacity HDX under this assumption. That was dumb on my part as it turns out because you're not limited by storage capacity. You're limited the NUMBER of downloads you can have on your device. Kids' content can be really short so you may find yourself running into that limitation, but most people never will.Read more",3,282,Neutral
